zfish_symbol	human_symbol	orthology_type	confidence	n_human_partners
fosl2	FOSL2	ortholog_one2one	1	1
foxa1	FOXA1	ortholog_one2one	1	1
foxa2	FOXA2	ortholog_one2one	1	1
foxb1a	FOXB1	ortholog_one2many	1	1
foxb1b	FOXB1	ortholog_one2many	1	1
foxc1a	FOXC1	ortholog_one2many	1	1
foxc1b	FOXC1	ortholog_one2many	1	1
foxd3	FOXD3	ortholog_one2one	1	1
foxe3	FOXE1	ortholog_one2one	0	1
foxf1	FOXF1	ortholog_one2one	1	1
foxg1a	FOXG1	ortholog_one2one	1	1
foxh1	FOXH1	ortholog_one2one	0	1
foxj1a	FOXJ1	ortholog_one2one	1	1
foxk1	FOXK1	ortholog_one2one	1	1
foxl1	FOXL1	ortholog_one2one	0	1
foxm1	FOXM1	ortholog_one2one	1	1
foxn1	FOXN1	ortholog_one2one	0	1
foxn2b	FOXN2	ortholog_one2many	1	1
foxn4	FOXN4	ortholog_one2one	1	1
foxo1a	FOXO1	ortholog_one2many	1	1
foxo1b	FOXO1	ortholog_one2many	1	1
foxo3a	FOXO6	ortholog_one2many	0	1
foxo3b	FOXO6	ortholog_one2many	0	1
foxp1a	FOXF2	ortholog_many2many	0	2
foxp1a	FOXI1	ortholog_many2many	0	2
foxp1b	FOXF2	ortholog_many2many	0	2
foxp1b	FOXI1	ortholog_many2many	0	2
foxp2	FOXP2	ortholog_one2one	1	1
foxp4	FOXP4	ortholog_one2one	1	1
foxq1a	FOXQ1	ortholog_one2many	1	1
foxq1b	FOXQ1	ortholog_one2many	1	1
foxred1	FOXRED1	ortholog_one2one	1	1
foxred2	FOXRED2	ortholog_one2one	1	1
fpgs	FPGS	ortholog_one2one	1	1
fpgt	FPGT	ortholog_one2one	1	1
fra10ac1	FRA10AC1	ortholog_one2one	1	1
frem1a	FREM1	ortholog_one2one	1	1
frem2a	FREM2	ortholog_one2many	1	1
frem2b	FREM2	ortholog_one2many	1	1
frem3	FREM3	ortholog_one2one	1	1
frmd6	FRMD6	ortholog_one2one	1	1
frmd7	FRMD7	ortholog_one2many	0	1
frs2a	FRS2	ortholog_one2many	1	1
frs2b	FRS2	ortholog_one2many	1	1
fryl	FRYL	ortholog_one2one	1	1
frzb	FRZB	ortholog_one2one	1	1
fscn1a	FSCN1	ortholog_one2many	1	1
fscn2a	FSCN2	ortholog_one2many	1	1
fscn2b	FSCN2	ortholog_one2many	1	1
fsd1	FSD1	ortholog_one2one	1	1
fsta	FST	ortholog_one2one	1	1
fstl1a	FSTL1	ortholog_one2many	1	1
fstl1b	FSTL1	ortholog_one2many	1	1
fstl3	FSTL3	ortholog_one2one	1	1
fstl4	FSTL4	ortholog_one2one	1	1
fstl5	FSTL5	ortholog_one2one	1	1
ft1	FUT9	ortholog_one2many	1	1
ft2	FUT9	ortholog_one2many	1	1
ftcd	FTCD	ortholog_one2one	1	1
fth1a	FTH1	ortholog_one2many	0	1
fth1b	FTH1	ortholog_one2many	1	1
ftsj1	FTSJ1	ortholog_one2one	1	1
ftsj3	FTSJ3	ortholog_one2one	1	1
fubp1	FUBP1	ortholog_one2one	1	1
fubp3	FUBP3	ortholog_one2one	1	1
fuca1.1	FUCA1	ortholog_one2many	1	1
fuca1.2	FUCA1	ortholog_one2many	1	1
fuca2	FUCA2	ortholog_one2one	1	1
fundc1	FUNDC1	ortholog_one2one	1	1
fundc2	FUNDC2	ortholog_one2one	1	1
fuom	FUOM	ortholog_one2one	1	1
furina	FURIN	ortholog_one2many	1	1
furinb	FURIN	ortholog_one2many	1	1
fus	FUS	ortholog_one2one	1	1
fut7	FUT3	ortholog_many2many	0	3
fut7	FUT5	ortholog_many2many	0	3
fut7	FUT6	ortholog_many2many	0	3
fut9a	FUT9	ortholog_one2many	1	1
fut9d	FUT3	ortholog_many2many	0	3
fut9d	FUT5	ortholog_many2many	0	3
fut9d	FUT6	ortholog_many2many	0	3
fxn	FXN	ortholog_one2one	1	1
fxr1	FXR1	ortholog_one2one	1	1
fxr2	FXR2	ortholog_one2one	1	1
fxyd6	FXYD6	ortholog_one2one	1	1
fyna	FYN	ortholog_one2one	1	1
fzd1	FZD1	ortholog_one2one	1	1
fzd10	FZD10	ortholog_one2one	1	1
fzd2	FZD2	ortholog_one2one	1	1
fzd3a	FZD3	ortholog_one2one	1	1
fzd5	FZD5	ortholog_one2one	1	1
fzd6	FZD6	ortholog_one2one	0	1
fzd7a	FZD7	ortholog_one2many	1	1
fzd7b	FZD7	ortholog_one2many	1	1
fzd8a	FZD8	ortholog_one2many	1	1
fzd8b	FZD8	ortholog_one2many	1	1
fzd9b	FZD9	ortholog_one2many	1	1
fzr1a	FZR1	ortholog_one2one	1	1
g0s2	G0S2	ortholog_one2one	0	1
g3bp1	G3BP1	ortholog_one2one	1	1
g6pc3	G6PC3	ortholog_one2one	1	1
gab1	GAB1	ortholog_one2one	1	1
gabarapl2	GABARAPL2	ortholog_one2one	1	1
gabbr2	GABBR2	ortholog_one2many	1	1
gabpa	GABPA	ortholog_one2one	1	1
gabpb1	GABPB1	ortholog_one2one	1	1
gabpb2b	GABPB2	ortholog_one2one	1	1
gabra1	GABRA1	ortholog_one2one	1	1
gabra6a	GABRA6	ortholog_one2many	1	1
gabrg2	GABRG2	ortholog_one2one	1	1
gabrr1	GABRR1	ortholog_one2many	1	1
gabrr2a	GABRR2	ortholog_one2many	1	1
gabrr3a	GABRR3	ortholog_one2many	0	1
gad1b	GAD1	ortholog_one2many	1	1
gad2	GAD2	ortholog_one2one	1	1
gadd45aa	GADD45A	ortholog_one2many	1	1
gadd45ab	GADD45A	ortholog_one2many	1	1
gadd45ba	GADD45B	ortholog_one2many	1	1
gadd45bb	GADD45B	ortholog_one2many	1	1
gadd45ga	GADD45G	ortholog_one2many	1	1
gadd45gb.1	GADD45G	ortholog_one2many	1	1
gal3st1a	GAL3ST1	ortholog_one2many	1	1
galca	GALC	ortholog_one2many	1	1
galcb	GALC	ortholog_one2many	1	1
gale	GALE	ortholog_one2one	1	1
galk1	GALK1	ortholog_one2one	1	1
galk2	GALK2	ortholog_one2one	1	1
galm	GALM	ortholog_one2one	1	1
galns	GALNS	ortholog_one2one	1	1
galnt11	GALNTL5	ortholog_one2many	1	1
galnt14	GALNT14	ortholog_one2one	0	1
galnt18a	GALNT18	ortholog_one2many	1	1
galnt2	GALNT2	ortholog_one2one	1	1
galnt6	GALNTL5	ortholog_one2many	0	1
galnt7	GALNT7	ortholog_one2one	1	1
galt	GALT	ortholog_one2one	1	1
gamt	GAMT	ortholog_one2one	1	1
gapdh	GAPDH	ortholog_one2one	1	1
gapdhs	GAPDHS	ortholog_one2one	1	1
gapvd1	GAPVD1	ortholog_one2one	1	1
gar1	GAR1	ortholog_one2one	1	1
garem	GAREM1	ortholog_one2one	1	1
garnl3	GARNL3	ortholog_one2one	1	1
gart	GART	ortholog_one2one	1	1
gas1a	GAS1	ortholog_one2many	1	1
gas1b	GAS1	ortholog_one2many	1	1
gas2l3	GAS2L3	ortholog_one2one	0	1
gas6	GAS6	ortholog_one2one	1	1
gas7a	GAS7	ortholog_one2many	1	1
gata1a	GATA1	ortholog_one2one	0	1
gata2a	GATA2	ortholog_one2one	1	1
gata3	GATA3	ortholog_one2one	1	1
gata4	GATA4	ortholog_one2one	0	1
gata5	GATA5	ortholog_one2one	1	1
gata6	GATA6	ortholog_one2one	1	1
gatad1	GATAD1	ortholog_one2one	1	1
gatad2ab	GATAD2A	ortholog_one2one	1	1
gatad2b	GATAD2B	ortholog_one2one	1	1
gatb	GATB	ortholog_one2one	1	1
gatm	GATM	ortholog_one2one	1	1
gba3	GBA3	ortholog_one2one	1	1
gbgt1l1	GBGT1	ortholog_one2many	0	1
gbgt1l2	GBGT1	ortholog_one2many	0	1
gbgt1l3	GBGT1	ortholog_one2many	0	1
gbgt1l4	GBGT1	ortholog_one2many	0	1
gbp1	GBP6	ortholog_one2many	0	1
gbp4	GBP6	ortholog_one2many	0	1
gbx1	GBX1	ortholog_one2one	1	1
gbx2	GBX2	ortholog_one2one	1	1
gc	GC	ortholog_one2one	1	1
gcat	GCAT	ortholog_one2one	1	1
gcc1	GCC1	ortholog_one2one	1	1
gcdha	GCDH	ortholog_one2many	1	1
gcdhb	GCDH	ortholog_one2many	1	1
gcfc2	GCFC2	ortholog_one2one	0	1
gcga	GCG	ortholog_one2many	0	1
gcgb	GCG	ortholog_one2many	1	1
gch1	GCH1	ortholog_one2one	1	1
gchfr	GCHFR	ortholog_one2one	1	1
gck	GCK	ortholog_one2one	1	1
gclc	GCLC	ortholog_one2one	1	1
gclm	GCLM	ortholog_one2one	1	1
gcm2	GCM2	ortholog_one2one	1	1
gcnt4a	GCNT4	ortholog_one2many	1	1
gda	GDA	ortholog_one2one	1	1
gdap1	GDAP1	ortholog_one2one	1	1
gdap2	GDAP2	ortholog_one2one	1	1
gde1	GDE1	ortholog_one2one	1	1
gdf10b	GDF10	ortholog_one2many	1	1
gdf9	GDF9	ortholog_one2one	1	1
gdi1	GDI1	ortholog_one2one	1	1
gdi2	GDI2	ortholog_one2one	1	1
gdnfa	GDNF	ortholog_one2many	1	1
gdpd1	GDPD1	ortholog_one2one	1	1
gdpd3a	GDPD3	ortholog_one2many	0	1
gem	GEM	ortholog_one2one	1	1
gemin2	GEMIN2	ortholog_one2one	1	1
gemin4	GEMIN4	ortholog_one2one	1	1
gemin7	GEMIN7	ortholog_one2one	1	1
gemin8	GEMIN8	ortholog_one2one	1	1
get4	GET4	ortholog_one2one	1	1
gfap	GFAP	ortholog_one2one	1	1
gfer	GFER	ortholog_one2one	1	1
gfi1ab	GFI1	ortholog_one2one	1	1
gfi1b	GFI1B	ortholog_one2one	1	1
gfm1	GFM1	ortholog_one2one	1	1
gfm2	GFM2	ortholog_one2one	1	1
gfod2	GFOD2	ortholog_one2one	1	1
gfpt1	GFPT1	ortholog_one2one	1	1
gfpt2	GFPT2	ortholog_one2one	1	1
gfra1a	GFRA1	ortholog_one2many	0	1
gfra1b	GFRA1	ortholog_one2many	1	1
gfra2a	GFRA2	ortholog_one2many	1	1
gfra3	GFRA3	ortholog_one2one	0	1
gfra4a	GFRA4	ortholog_one2many	0	1
gga1	GGA1	ortholog_one2one	1	1
ggact.1	GGACT	ortholog_one2many	1	1
ggctb	GGCT	ortholog_one2one	1	1
ggh	GGH	ortholog_one2one	1	1
ggnbp2	GGNBP2	ortholog_one2one	1	1
ggps1	GGPS1	ortholog_one2one	1	1
ggt1a	GGT1	ortholog_many2many	1	4
ggt1a	GGTLC1	ortholog_many2many	0	4
ggt1a	GGTLC2	ortholog_many2many	0	4
ggt1a	GGTLC3	ortholog_many2many	0	4
ggt5a	GGT5	ortholog_one2many	0	1
gh1	CSH1	ortholog_one2many	0	5
gh1	CSH2	ortholog_one2many	0	5
gh1	CSHL1	ortholog_one2many	0	5
gh1	GH1	ortholog_one2many	0	5
gh1	GH2	ortholog_one2many	0	5
ghdc	GHDC	ortholog_one2one	0	1
ghra	CRLF2	ortholog_many2many	0	11
ghra	GHR	ortholog_many2many	1	11
ghra	IL11RA	ortholog_many2many	0	11
ghra	IL12RB1	ortholog_many2many	0	11
ghra	IL13RA1	ortholog_many2many	0	11
ghra	IL23R	ortholog_many2many	0	11
ghra	IL27RA	ortholog_many2many	0	11
ghra	IL2RG	ortholog_many2many	0	11
ghra	IL3RA	ortholog_many2many	0	11
ghra	IL6R	ortholog_many2many	0	11
ghra	OSMR	ortholog_many2many	0	11
ghrb	CRLF2	ortholog_many2many	0	11
ghrb	GHR	ortholog_many2many	0	11
ghrb	IL11RA	ortholog_many2many	0	11
ghrb	IL12RB1	ortholog_many2many	0	11
ghrb	IL13RA1	ortholog_many2many	0	11
ghrb	IL23R	ortholog_many2many	0	11
ghrb	IL27RA	ortholog_many2many	0	11
ghrb	IL2RG	ortholog_many2many	0	11
ghrb	IL3RA	ortholog_many2many	0	11
ghrb	IL6R	ortholog_many2many	0	11
ghrb	OSMR	ortholog_many2many	0	11
ghrh	GHRH	ortholog_one2one	0	1
ghrhrl	GHRHR	ortholog_one2one	0	1
ghsra	GHSR	ortholog_one2many	1	1
gid8a	GID8	ortholog_one2many	1	1
gins1	GINS1	ortholog_one2one	1	1
gins2	GINS2	ortholog_one2one	1	1
gins3	GINS3	ortholog_one2one	1	1
gins4	GINS4	ortholog_one2one	1	1
gip	GIP	ortholog_one2one	0	1
gipc1	GIPC1	ortholog_one2one	1	1
gipc2	GIPC2	ortholog_one2one	0	1
gipc3	GIPC3	ortholog_one2one	1	1
git2a	GIT2	ortholog_one2many	1	1
git2b	GIT2	ortholog_one2many	1	1
gja3	GJA3	ortholog_one2one	1	1
gk5	GK5	ortholog_one2one	1	1
gkap1	GKAP1	ortholog_one2one	1	1
gla	GLA	ortholog_one2one	1	1
glb1l	GLB1L	ortholog_one2one	1	1
glcea	GLCE	ortholog_one2many	1	1
glceb	GLCE	ortholog_one2many	1	1
gldc	GLDC	ortholog_one2one	1	1
gldn	GLDN	ortholog_one2one	1	1
gle1	GLE1	ortholog_one2one	1	1
glg1b	GLG1	ortholog_one2many	1	1
gli1	GLI1	ortholog_one2one	1	1
gli2a	GLI2	ortholog_one2many	1	1
gli2b	GLI2	ortholog_one2many	1	1
gli3	GLI3	ortholog_one2one	1	1
glipr1b	CRISP1	ortholog_many2many	0	3
glipr1b	GLIPR1L1	ortholog_many2many	0	3
glipr1b	GLIPR1L2	ortholog_many2many	0	3
glipr2l	GLIPR2	ortholog_one2one	1	1
glis2b	GLIS2	ortholog_one2one	0	1
glis3	GLIS3	ortholog_one2one	0	1
glmna	GLMN	ortholog_one2many	0	1
glmnb	GLMN	ortholog_one2many	1	1
glmp	GLMP	ortholog_one2one	0	1
glo1	GLO1	ortholog_one2one	1	1
glod4	GLOD4	ortholog_one2one	1	1
glod5	GLOD5	ortholog_one2one	1	1
glra1	GLRA1	ortholog_one2one	1	1
glra2	GLRA2	ortholog_one2one	1	1
glra3	GLRA3	ortholog_one2one	1	1
glrba	GLRB	ortholog_one2many	1	1
glrbb	GLRB	ortholog_one2many	1	1
glrx	GLRX	ortholog_one2one	1	1
glrx2	GLRX2	ortholog_one2one	1	1
glrx3	GLRX3	ortholog_one2one	1	1
glrx5	GLRX5	ortholog_one2one	1	1
gls2b	GLS2	ortholog_one2many	1	1
glsa	GLS	ortholog_one2many	1	1
glt8d1	GLT8D1	ortholog_one2one	1	1
glt8d2	GLT8D2	ortholog_one2one	1	1
gltpa	GLTP	ortholog_one2many	1	1
glud1a	GLUD1	ortholog_one2many	1	2
glud1a	GLUD2	ortholog_one2many	1	2
glula	GLUL	ortholog_one2many	1	1
glulb	GLUL	ortholog_one2many	1	1
glyctk	GLYCTK	ortholog_one2one	1	1
glyr1	GLYR1	ortholog_one2one	1	1
gm2a	GM2A	ortholog_one2many	1	1
gmcl1	GMCL1	ortholog_one2many	1	2
gmcl1	GMCL2	ortholog_one2many	1	2
gmds	GMDS	ortholog_one2one	1	1
gmeb1	GMEB1	ortholog_one2one	1	1
gmfb	GMFB	ortholog_one2one	1	1
gmnn	GMNN	ortholog_one2one	1	1
gmppaa	GMPPA	ortholog_one2many	1	1
gmppab	GMPPA	ortholog_one2many	1	1
gmppb	GMPPB	ortholog_one2one	1	1
gmpr	GMPR	ortholog_one2one	1	1
gmpr2	GMPR2	ortholog_one2one	1	1
gmps	GMPS	ortholog_one2one	1	1
gna13a	GNA13	ortholog_one2many	1	1
gna13b	GNA13	ortholog_one2many	1	1
gna14	GNAQ	ortholog_one2many	0	1
gna15.1	GNA11	ortholog_many2many	0	3
gna15.1	GNA15	ortholog_many2many	0	3
gna15.1	GNAT3	ortholog_many2many	0	3
gnai2a	GNAI2	ortholog_one2many	1	1
gnai2b	GNAI2	ortholog_one2many	1	1
gnai3	GNAI1	ortholog_one2many	0	2
gnai3	GNAI3	ortholog_one2many	1	2
gnal	GNAL	ortholog_one2one	0	1
gnao1a	GNAO1	ortholog_one2many	1	1
gnao1b	GNAO1	ortholog_one2many	0	1
gnaq	GNAQ	ortholog_one2many	1	1
gnat1	GNAT1	ortholog_one2one	1	1
gnat2	GNAT2	ortholog_one2one	1	1
gnb1b	GNB1	ortholog_one2one	0	1
gnb1l	GNB1L	ortholog_one2one	0	1
gnb2	GNB2	ortholog_one2one	1	1
gnb3a	GNB3	ortholog_one2many	1	1
gnb3b	GNB3	ortholog_one2many	0	1
gnb4b	GNB4	ortholog_one2many	0	1
gnb5a	GNB5	ortholog_one2many	1	1
gnb5b	GNB5	ortholog_one2many	1	1
gne	GNE	ortholog_one2one	1	1
gng10	GNG10	ortholog_one2one	1	1
gng12a	GNG12	ortholog_one2many	0	1
gng13b	GNG13	ortholog_one2one	1	1
gng2	GNG2	ortholog_one2one	1	1
gng3	GNG3	ortholog_one2one	1	1
gng5	GNG5	ortholog_one2many	1	2
gng5	GNG5B	ortholog_one2many	1	2
gng7	GNG7	ortholog_one2one	1	1
gng8	GNG8	ortholog_one2one	0	1
gngt1	GNG11	ortholog_one2many	1	2
gngt1	GNGT1	ortholog_one2many	1	2
gngt2a	GNGT2	ortholog_one2many	1	1
gngt2b	GNGT2	ortholog_one2many	1	1
gnl1	GNL1	ortholog_one2one	1	1
gnl2	GNL2	ortholog_one2one	1	1
gnl3	GNL3	ortholog_one2one	1	1
gnl3l	GNL3L	ortholog_one2one	1	1
gnmt	GNMT	ortholog_one2one	1	1
gnpda1	GNPDA1	ortholog_one2one	1	1
gnpnat1	GNPNAT1	ortholog_one2one	1	1
gnptab	GNPTAB	ortholog_one2one	1	1
gnptg	GNPTG	ortholog_one2one	0	1
gnrh2	GNRH2	ortholog_many2many	0	1
gnrh3	GNRH1	ortholog_many2many	0	2
gnrh3	GNRH2	ortholog_many2many	0	2
gnrhr4	GNRHR	ortholog_one2many	0	1
gnsa	GNS	ortholog_one2one	1	1
gnsb	ARSF	ortholog_many2many	0	2
gnsb	ARSL	ortholog_many2many	0	2
golga1	GOLGA1	ortholog_one2one	1	1
golga2	GOLGA2	ortholog_one2many	1	19
golga2	GOLGA6A	ortholog_one2many	0	19
golga2	GOLGA6B	ortholog_one2many	0	19
golga2	GOLGA6C	ortholog_one2many	0	19
golga2	GOLGA6D	ortholog_one2many	0	19
golga2	GOLGA8A	ortholog_one2many	0	19
golga2	GOLGA8B	ortholog_one2many	0	19
golga2	GOLGA8F	ortholog_one2many	0	19
golga2	GOLGA8G	ortholog_one2many	0	19
golga2	GOLGA8H	ortholog_one2many	0	19
golga2	GOLGA8J	ortholog_one2many	0	19
golga2	GOLGA8K	ortholog_one2many	0	19
golga2	GOLGA8M	ortholog_one2many	0	19
golga2	GOLGA8N	ortholog_one2many	0	19
golga2	GOLGA8O	ortholog_one2many	0	19
golga2	GOLGA8Q	ortholog_one2many	0	19
golga2	GOLGA8R	ortholog_one2many	0	19
golga2	GOLGA8S	ortholog_one2many	0	19
golga2	GOLGA8T	ortholog_one2many	0	19
golga3	GOLGA3	ortholog_one2one	1	1
golga5	GOLGA5	ortholog_one2one	1	1
golga7	GOLGA7	ortholog_one2one	1	1
golga7ba	GOLGA7B	ortholog_one2many	1	1
golph3l	GOLPH3L	ortholog_one2one	1	1
gopc	GOPC	ortholog_one2one	1	1
gorab	GORAB	ortholog_one2one	1	1
gorasp1a	GORASP1	ortholog_one2many	0	1
gorasp2	GORASP2	ortholog_one2one	1	1
gosr1	GOSR1	ortholog_one2one	1	1
gosr2	GOSR2	ortholog_one2one	1	1
got1	GOT1	ortholog_one2one	1	1
got1l1	GOT1L1	ortholog_one2one	0	1
got2a	GOT2	ortholog_one2many	1	1
got2b	GOT2	ortholog_one2many	0	1
gp1bb	GP1BB	ortholog_one2one	0	1
gpalpp1	GPALPP1	ortholog_one2one	1	1
gpank1	GPANK1	ortholog_one2one	0	1
gpat2	GPAT2	ortholog_one2one	1	1
gpatch1	GPATCH1	ortholog_one2one	1	1
gpatch11	GPATCH11	ortholog_one2one	0	1
gpatch3	GPATCH3	ortholog_one2one	1	1
gpatch4	GPATCH4	ortholog_one2one	0	1
gpc1a	GPC1	ortholog_one2many	1	1
gpc1b	GPC1	ortholog_one2many	0	1
gpc2	GPC2	ortholog_one2one	0	1
gpc3	GPC3	ortholog_one2one	1	1
gpc4	GPC4	ortholog_one2one	1	1
gpc5a	GPC5	ortholog_one2one	1	1
gpc6a	GPC6	ortholog_one2many	1	1
gpcpd1	GPCPD1	ortholog_one2one	1	1
gpd1a	GPD1	ortholog_one2many	1	1
gpd1b	GPD1	ortholog_one2many	1	1
gpd1l	GPD1L	ortholog_one2one	1	1
gpd2	GPD2	ortholog_one2one	1	1
gper1	GPER1	ortholog_one2one	1	1
gphna	GPHN	ortholog_one2many	1	1
gphnb	GPHN	ortholog_one2many	1	1
gpia	GPI	ortholog_one2many	1	1
gpib	GPI	ortholog_one2many	1	1
gpkow	GPKOW	ortholog_one2one	0	1
gpm6aa	GPM6A	ortholog_one2many	1	1
gpm6ab	GPM6A	ortholog_one2many	1	1
gpm6bb	GPM6B	ortholog_one2one	1	1
gpn1	GPN1	ortholog_one2one	1	1
gpn2	GPN2	ortholog_one2one	1	1
gpn3	GPN3	ortholog_one2one	1	1
gpr107	GPR107	ortholog_one2one	1	1
gpr137ba	GPR137B	ortholog_one2many	1	1
gpr137bb	GPR137B	ortholog_one2many	0	1
gpr143	GPR143	ortholog_one2one	1	1
gpr157	GPR157	ortholog_one2one	1	1
gpr160	GPR160	ortholog_one2one	0	1
gpr173	GPR173	ortholog_one2one	1	1
gpr176	GPR176	ortholog_one2one	1	1
gpr183a	GPR183	ortholog_one2many	1	1
gpr183b	GPR183	ortholog_one2many	1	1
gpr19	GPR19	ortholog_one2one	1	1
gpr22a	GPR22	ortholog_one2many	1	1
gpr27	GPR27	ortholog_one2one	1	1
gpr35.1	GPR35	ortholog_one2many	0	1
gpr37b	GPR37	ortholog_one2many	1	1
gpr39	GPR39	ortholog_one2one	1	1
gpr55a	GPR55	ortholog_one2one	1	1
gpr84	GPR84	ortholog_one2one	1	1
gpr85	GPR85	ortholog_one2one	1	1
gprc5bb	GPRC5B	ortholog_one2many	1	1
gprc5c	GPRC5C	ortholog_one2one	1	1
gprc6a	GPRC6A	ortholog_one2one	1	1
gps1	GPS1	ortholog_one2one	1	1
gps2	GPS2	ortholog_one2one	1	1
gpsm1b	GPSM1	ortholog_one2many	1	1
gpsm2	GPSM2	ortholog_one2one	1	1
gpt2	GPT2	ortholog_one2one	1	1
gpx1a	GPX3	ortholog_many2many	0	2
gpx1a	GPX5	ortholog_many2many	0	2
gpx1b	GPX3	ortholog_many2many	0	2
gpx1b	GPX5	ortholog_many2many	0	2
gpx3	GPX3	ortholog_many2many	1	2
gpx3	GPX5	ortholog_many2many	1	2
gpx4a	GPX3	ortholog_many2many	0	3
gpx4a	GPX5	ortholog_many2many	0	3
gpx4a	GPX6	ortholog_many2many	0	3
gpx4b	GPX4	ortholog_one2one	1	1
gpx7	GPX7	ortholog_one2one	1	1
gpx8	GPX8	ortholog_one2one	1	1
gra	EIF4EBP2	ortholog_one2many	0	1
grap2a	GRAP2	ortholog_one2many	1	1
grap2b	GRAP2	ortholog_one2many	0	1
grapa	GRAP	ortholog_many2many	1	2
grapa	GRAPL	ortholog_many2many	0	2
grapb	GRAP	ortholog_many2many	1	2
grapb	GRAPL	ortholog_many2many	0	2
grb10a	GRB10	ortholog_one2many	1	1
grb2a	GRB2	ortholog_one2many	1	1
grb2b	GRB2	ortholog_one2many	1	1
grcc10	C12orf57	ortholog_one2one	1	1
grem1a	GREM1	ortholog_one2many	1	1
grem2b	GREM2	ortholog_one2many	1	1
grhl1	GRHL1	ortholog_one2one	1	1
grhl2a	GRHL2	ortholog_one2many	0	1
grhl2b	GRHL2	ortholog_one2many	1	1
grhpra	GRHPR	ortholog_one2one	1	1
gria1a	GRIA1	ortholog_one2many	1	1
gria1b	GRIA1	ortholog_one2many	1	1
gria2a	GRIA2	ortholog_one2many	1	1
gria2b	GRIA2	ortholog_one2many	1	1
gria3a	GRIA3	ortholog_one2many	1	1
gria3b	GRIA3	ortholog_one2many	1	1
gria4a	GRIA4	ortholog_one2one	1	1
grid2	GRID2	ortholog_one2one	1	1
grid2ipb	GRID2IP	ortholog_one2many	1	1
grifin	GRIFIN	ortholog_one2one	1	1
grik5	GRIK5	ortholog_one2many	1	1
grin1a	GRIN1	ortholog_one2many	1	1
grin1b	GRIN1	ortholog_one2many	1	1
grin2bb	GRIN2B	ortholog_one2many	1	1
grinaa	GRINA	ortholog_one2many	1	1
grinab	GRINA	ortholog_one2many	0	1
grip1	GRIP1	ortholog_one2one	1	1
grip2a	GRIP2	ortholog_one2many	1	1
gripap1	GRIPAP1	ortholog_one2one	1	1
grk1a	GRK1	ortholog_one2one	1	1
grk4	GRK4	ortholog_one2one	1	1
grk7a	GRK7	ortholog_one2many	1	1
grk7b	GRK7	ortholog_one2many	1	1
grm2a	GRM2	ortholog_one2many	1	1
grm3	GRM3	ortholog_one2one	1	1
grm4	GRM4	ortholog_one2one	1	1
grm6a	GRM6	ortholog_one2many	1	1
grm6b	GRM6	ortholog_one2many	1	1
grm8b	GRM8	ortholog_one2many	1	1
grna	GRN	ortholog_one2many	0	1
grnb	GRN	ortholog_one2many	0	1
grpel1	GRPEL1	ortholog_one2one	1	1
grpel2	GRPEL2	ortholog_one2one	1	1
grtp1a	GRTP1	ortholog_one2many	1	1
grtp1b	GRTP1	ortholog_one2many	1	1
grwd1	GRWD1	ortholog_one2one	1	1
gsc	GSC	ortholog_one2one	1	1
gsg1l	GSG1L	ortholog_one2one	1	1
gsk3aa	GSK3A	ortholog_one2many	1	1
gsk3ab	GSK3A	ortholog_one2many	1	1
gskip	GSKIP	ortholog_one2one	1	1
gsna	GSN	ortholog_one2many	1	1
gsnb	GSN	ortholog_one2many	1	1
gspt1	GSPT1	ortholog_one2many	0	1
gspt1l	GSPT1	ortholog_one2many	1	1
gsr	GSR	ortholog_one2one	1	1
gss	GSS	ortholog_one2one	1	1
gstcd	GSTCD	ortholog_one2one	1	1
gstk1	GSTK1	ortholog_one2many	0	1
gstm.1	GSTM3	ortholog_one2many	1	1
gstm.2	GSTM3	ortholog_one2many	1	1
gstm.3	GSTM3	ortholog_one2many	1	1
gsto1	GSTO1	ortholog_one2many	0	1
gsto2	GSTO1	ortholog_one2many	0	1
gstr	GSTO2	ortholog_many2many	0	4
gstr	GSTT2	ortholog_many2many	0	4
gstr	GSTT2B	ortholog_many2many	0	4
gstr	GSTT4	ortholog_many2many	0	4
gstz1	GSTZ1	ortholog_one2one	1	1
gsx1	GSX1	ortholog_one2one	1	1
gsx2	GSX2	ortholog_one2one	1	1
gtdc1	QTMAN	ortholog_one2one	1	1
gtf2a1	GTF2A1	ortholog_one2one	1	1
gtf2a1l	GTF2A1L	ortholog_one2one	1	1
gtf2a2	GTF2A2	ortholog_one2one	1	1
gtf2b	GTF2B	ortholog_one2one	1	1
gtf2e1	GTF2E1	ortholog_one2one	1	1
gtf2e2	GTF2E2	ortholog_one2one	1	1
gtf2f1	GTF2F1	ortholog_one2one	1	1
gtf2f2a	GTF2F2	ortholog_one2many	1	1
gtf2h1	GTF2H1	ortholog_one2one	1	1
gtf2h2	GTF2H2	ortholog_one2many	1	2
gtf2h2	GTF2H2C	ortholog_one2many	1	2
gtf2h3	GTF2H3	ortholog_one2one	1	1
gtf2h4	GTF2H4	ortholog_one2one	1	1
gtf2h5	GTF2H5	ortholog_one2one	1	1
gtf3aa	GTF3A	ortholog_one2many	1	1
gtf3ab	GTF3A	ortholog_one2many	1	1
gtf3c2	GTF3C2	ortholog_one2one	1	1
gtf3c3	GTF3C3	ortholog_one2one	1	1
gtf3c6	GTF3C6	ortholog_one2one	0	1
